Country,Population (M),Solar Capacity (MW), Renewable zesa percent, Solar zesa Percent,Main Renewable Source,Depends on Renewables,Avg. Temp ,Exp Temp Rise  2050 
Angola,36.7,100,6,1.00,Hydro,Yes,23.0,2.75
Botswana,2.4,100,2.5,1.00,Solar/Hydro,Partial,22.5,2.00
DRC,102.3,0,9.9,1.00,Hydro,Yes,25.0,2.75
Eswatini,1.2,0,8,1.00,Hydro,Yes,20.5,2.00
Lesotho,2.3,0,10,1.00,Hydro,Yes,15.0,2.00
Madagascar,30.3,0,7,5.00,Hydro/Solar,Yes,24.0,2.50
Malawi,21.0,0,9,1.00,Hydro,Yes,23.5,2.75
Mauritius,1.3,65,2.2,3.00,Hydro/Solar,Partial,23.5,1.50
Mozambique,33.9,150,8,1.00,Hydro,Yes,24.0,2.50
Namibia,2.7,530,7,5.00,Solar,Yes,22.0,2.50
Seychelles,0.1,3.2,0.5,2.00,Solar,Partial,27.0,1.50
South Africa,59.3,8288,1.1,5.00,Solar/Wind,No,17.5,2.00
Tanzania,67.5,120,3.9,1.00,Hydro,Partial,23.0,2.75
Zambia,19.5,1100,8.5,1.00,Hydro,Yes,21.5,2.00
Zimbabwe,16.7,1575,3.5,5.00,Hydro/Solar,Partial,22.0,2.50
